Date,MSCI China ESG Leaders Index Standard (Large+Mid Cap),Return Rate
2021-06-10,"2,336.497",0.001888862
2021-06-11,"2,342.121",0.002407022
2021-06-14,"2,343.081",0.000409885
2021-06-15,"2,331.982",-0.004736925
2021-06-16,"2,294.456",-0.016091891
2021-06-17,"2,310.363",0.006932798
2021-06-18,"2,337.446",0.0117224
2021-06-21,"2,319.349",-0.007742211
2021-06-22,"2,287.439",-0.013758171
2021-06-23,"2,336.518",0.021455873
2021-06-24,"2,347.273",0.004603003
2021-06-25,"2,393.530",0.019706698
2021-06-28,"2,421.453",0.011666033
2021-06-29,"2,402.345",-0.00789113
2021-06-30,"2,394.588",-0.003228928
2021-07-01,"2,389.745",-0.002022477
2021-07-02,"2,329.387",-0.025257088
2021-07-05,"2,284.423",-0.019302932
2021-07-06,"2,285.546",0.00049159
2021-07-07,"2,261.815",-0.010383077
2021-07-08,"2,181.814",-0.035370267
2021-07-09,"2,200.736",0.0086726
