Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2020-06-02,"5,655.045",0.015138457,,,
2020-06-03,"5,782.421",0.022524312,,,
2020-06-04,"5,805.111",0.003923962,,,
2020-06-05,"5,888.730",0.014404376,,,
2020-06-08,"5,912.949",0.004112771,,,
2020-06-09,"5,908.055",-0.000827675,,,
2020-06-10,"5,898.575",-0.001604589,,,
2020-06-11,"5,707.527",-0.03238884,,,
2020-06-12,"5,640.525",-0.011739235,,,
2020-06-15,"5,584.614",-0.009912375,,,
2020-06-16,"5,751.104",0.029812266,,,
2020-06-17,"5,779.067",0.004862197,,,
2020-06-18,"5,747.553",-0.005453129,,,
2020-06-19,"5,756.029",0.001474715,,,
2020-06-22,"5,750.035",-0.001041343,,,
2020-06-23,"5,848.363",0.017100418,,,
2020-06-24,"5,710.125",-0.023637042,,,
2020-06-25,"5,684.460",-0.004494648,,,
2020-06-26,"5,681.316",-0.000553087,,,
2020-06-29,"5,671.224",-0.001776349,,,
2020-06-30,"5,687.350",0.002843478,,,
2020-07-01,"5,697.570",0.00179697,,,
2020-07-02,"5,775.413",0.013662491,,,
2020-07-03,"5,765.185",-0.001770956,,,
2020-07-06,"5,875.934",0.019209965,,,
2020-07-07,"5,831.776",-0.007515061,,,
2020-07-08,"5,804.624",-0.004655872,,,
2020-07-09,"5,771.371",-0.005728709,,,
2020-07-10,"5,794.251",0.003964396,,,
2020-07-13,"5,879.184",0.01465815,,,
2020-07-14,"5,848.821",-0.005164492,,,
2020-07-15,"5,958.458",0.018745145,,,
2020-07-16,"5,921.998",-0.006119033,,,
2020-07-17,"5,921.614",-6.4843E-05,,,
2020-07-20,"5,954.096",0.005485329,,,
2020-07-21,"6,011.122",0.009577608,,,
2020-07-22,"5,989.299",-0.003630437,,,
2020-07-23,"5,995.979",0.001115323,,,
2020-07-24,"5,946.092",-0.008320076,,,
2020-07-27,"5,998.204",0.008764076,,,
2020-07-28,"5,993.316",-0.000814911,,,
2020-07-29,"5,987.070",-0.001042161,,,
2020-07-30,"5,902.137",-0.014186071,,,
2020-07-31,"5,819.916",-0.013930717,,,
2020-08-03,"5,881.320",0.010550668,,,
2020-08-04,"5,932.793",0.008751947,,,
2020-08-05,"5,997.183",0.010853236,,,
2020-08-06,"5,956.449",-0.006792189,,,
2020-08-07,"5,933.645",-0.003828456,,,
2020-08-10,"5,947.521",0.002338529,,,
2020-08-11,"6,044.034",0.016227433,,,
2020-08-12,"6,117.008",0.012073724,,,
